,N,n,max_left
0,0,1100,-46
1,1,3404,-67
2,2,714,-19
3,3,1274,-17
4,4,516,-16
5,5,108,-3
6,6,94,-5
7,7,452,-1
8,8,1804,-34
9,9,23598,-148
10,10,316,-18
11,11,466,-17
12,12,154,-3
13,13,1798,-31
14,14,432,-10
15,15,864,-8
16,16,3984,-61
17,17,96,0
18,18,252,-10
19,19,362,-6
20,20,180,-3
21,21,224,1
22,22,106,-1
23,23,936,-16
24,24,1494,-21
25,25,178,-7
26,26,574,-5
27,27,432,-5
28,28,1752,-25
29,29,103930,-478
30,30,358,-10
31,31,118,-5
32,32,490,-11
33,33,1696,-31
34,34,1446,-21
35,35,1934,-35
36,36,826,-27
37,37,448,-10
38,38,250,-12
39,39,502,-6
40,40,1260,-29
41,41,420,-5
42,42,38874,-170
43,43,352,-18
44,44,182,-8
45,45,282,-2
46,46,86,-3
47,47,282,-2
48,48,1352,-45
49,49,304,-2
50,50,152,0
51,51,388,-12
52,52,198,-9
53,53,296,-3
54,54,88,-3
55,55,19320,-155
56,56,496,-9
57,57,356,-4
58,58,2672,-69
59,59,1314,-24
60,60,144,1
61,61,232,-3
62,62,914,-8
63,63,240,-4
64,64,650,-20
65,65,164,-8
66,66,1280,-14
67,67,4348,-51
68,68,732,-14
69,69,120,-6
70,70,286,-17
71,71,152,-10
72,72,10320,-84
73,73,1992,-25
74,74,1166,-24
75,75,11154,-96
76,76,48356,-294
77,77,808,-25
78,78,2322,-58
79,79,202,-1
80,80,190,-5
81,81,376,-1
82,82,15490,-130
83,83,134,-3
84,84,40974,-206
85,85,3704,-43
86,86,514,-26
87,87,512,-11
88,88,17114,-101
89,89,11048,-147
90,90,1916,-30
91,91,46,1
92,92,200,-4
93,93,3144,-55
94,94,676,-13
95,95,178,-2
96,96,2534,-34
97,97,2650,-53
98,98,3498,-65
99,99,632,-11
